	Loop			GCD			Bubble			Qsort			Average
Bits	HR	CPI		HR	CPI		HR	CPI		HR	CPI		HR	CPI
3	97.00	1.35		35.92	2.33		34.59	1.96		37.70	1.75		51.30	1.85
5	97.00	1.35		55.24	1.93		47.03	1.86		48.97	1.67		62.06	1.70
6	96.00	1.36		70.30	1.74		59.59	1.73		67.61	1.51		73.37	1.59
7	97.00	1.35		64.16	1.73		52.94	1.81		57.97	1.62		68.02	1.63
9	97.00	1.35		64.16	1.73		53.46	1.80		57.19	1.62		67.95	1.63
10	96.00	1.36		80.55	1.59		59.83	1.67		71.72	1.48		77.03	1.53
11	97.00	1.35		64.16	1.73		52.95	1.79		56.34	1.63		67.61	1.63
11	95.00	1.37		70.14	1.75		58.92	1.73		69.53	1.50		73.40	1.59
13	97.00	1.35		64.16	1.73		53.24	1.79		55.07	1.63		67.37	1.63
14	96.00	1.36		81.55	1.57		60.22	1.67		74.13	1.45		77.98	1.51
18	96.00	1.36		81.14	1.58		60.12	1.67		74.70	1.44		77.99	1.51
19	95.00	1.37		80.56	1.59		60.28	1.66		72.57	1.47		77.10	1.52
20	94.00	1.37		79.11	1.60		58.77	1.74		71.65	1.48		75.88	1.55
22	96.00	1.36		81.60	1.58		60.12	1.67		74.56	1.44		78.07	1.51
26	96.00	1.36		81.86	1.58		59.92	1.67		73.56	1.44		77.84	1.51
27	95.00	1.37		80.05	1.60		61.09	1.66		73.42	1.46		77.39	1.52
35	95.00	1.37		79.75	1.60		61.16	1.65		74.27	1.44		77.55	1.52
36	94.00	1.37		84.19	1.51		59.67	1.67		73.56	1.46		77.86	1.50
37	93.00	1.38		88.57	1.43		59.19	1.73		74.34	1.46		78.78	1.50
43	95.00	1.37		80.15	1.61		60.92	1.65		74.13	1.44		77.55	1.52
51	95.00	1.37		80.40	1.61		60.64	1.66		73.71	1.44		77.44	1.52
52	94.00	1.37		83.38	1.52		60.47	1.66		75.90	1.43		78.44	1.50
68	94.00	1.37		82.61	1.54		60.54	1.66		76.40	1.43		78.39	1.50
69	93.00	1.38		91.05	1.40		60.18	1.66		77.82	1.43		80.51	1.47
70	92.00	1.39		90.47	1.40		60.76	1.72		73.99	1.46		79.31	1.49
84	94.00	1.37		81.35	1.56		60.30	1.66		76.33	1.43		77.99	1.51
100	94.00	1.37		80.91	1.56		59.95	1.66		76.33	1.43		77.80	1.51
101	93.00	1.38		91.43	1.39		61.02	1.65		77.89	1.42		80.83	1.46
133	93.00	1.38		91.40	1.39		61.08	1.65		79.09	1.40		81.14	1.46
134	92.00	1.39		91.62	1.38		60.83	1.65		78.60	1.42		80.76	1.46
165	93.00	1.38		91.16	1.40		60.85	1.65		79.16	1.40		81.04	1.46
197	93.00	1.38		91.19	1.39		60.56	1.65		79.16	1.40		80.98	1.46
198	92.00	1.39		91.56	1.39		61.63	1.65		79.52	1.40		81.18	1.46
262	92.00	1.39		91.38	1.39		61.42	1.65		79.31	1.40		81.03	1.46
326	92.00	1.39		91.02	1.39		61.25	1.65		79.38	1.40		80.91	1.46
390	92.00	1.39		91.05	1.39		60.86	1.65		79.38	1.40		80.82	1.46
