	Loop			GCD			Bubble			Qsort			Average
Bits	HR	CPI		HR	CPI		HR	CPI		HR	CPI		HR	CPI
2	98.00	1.35		57.78	1.96		80.55	1.53		55.28	1.61		72.90	1.61
4	98.00	1.35		52.32	2.00		90.24	1.45		56.84	1.58		74.35	1.60
4	98.00	1.35		61.75	1.89		92.70	1.42		48.97	1.66		75.36	1.58
6	98.00	1.35		62.31	1.77		90.24	1.45		56.27	1.59		76.71	1.54
8	98.00	1.35		64.16	1.73		90.24	1.45		57.69	1.57		77.52	1.53
8	98.00	1.35		61.73	1.89		93.02	1.41		58.04	1.60		77.70	1.56
8	98.00	1.35		66.48	1.81		92.70	1.42		70.52	1.49		81.92	1.52
10	98.00	1.35		64.16	1.73		90.24	1.45		56.27	1.59		77.17	1.53
12	98.00	1.35		64.16	1.73		90.24	1.45		55.28	1.58		76.92	1.53
12	98.00	1.35		65.09	1.79		93.40	1.41		62.37	1.57		79.71	1.53
16	98.00	1.35		66.34	1.77		93.24	1.41		62.58	1.56		80.04	1.52
16	98.00	1.35		77.43	1.59		93.02	1.41		75.19	1.44		85.91	1.45
16	98.00	1.35		89.10	1.43		92.69	1.42		74.77	1.45		88.64	1.41
20	98.00	1.35		66.19	1.75		93.21	1.41		62.44	1.55		79.96	1.52
24	98.00	1.35		65.90	1.74		93.01	1.41		62.30	1.55		79.80	1.51
24	98.00	1.35		78.66	1.56		93.40	1.41		76.47	1.42		86.63	1.44
32	98.00	1.35		78.40	1.57		93.24	1.41		77.32	1.41		86.74	1.44
32	98.00	1.35		91.90	1.38		93.04	1.41		81.72	1.39		91.16	1.38
32	98.00	1.35		89.08	1.43		92.69	1.42		74.70	1.45		88.62	1.41
40	98.00	1.35		78.16	1.58		93.21	1.41		76.12	1.41		86.37	1.44
48	98.00	1.35		78.40	1.58		93.01	1.41		75.76	1.41		86.29	1.44
48	98.00	1.35		91.54	1.39		93.47	1.41		83.35	1.37		91.59	1.38
64	98.00	1.35		91.29	1.40		93.41	1.41		82.85	1.37		91.39	1.38
64	98.00	1.35		91.88	1.38		93.04	1.41		81.64	1.39		91.14	1.38
64	98.00	1.35		89.08	1.43		92.69	1.42		76.26	1.44		89.01	1.41
80	98.00	1.35		91.05	1.41		93.37	1.41		82.28	1.37		91.17	1.39
96	98.00	1.35		91.29	1.41		93.12	1.41		82.07	1.37		91.12	1.39
96	98.00	1.35		91.53	1.39		93.47	1.41		83.27	1.37		91.57	1.38
128	98.00	1.35		91.27	1.40		93.41	1.41		82.78	1.37		91.37	1.38
128	98.00	1.35		91.88	1.38		93.04	1.41		81.64	1.39		91.14	1.38
160	98.00	1.35		91.03	1.41		93.37	1.41		82.21	1.37		91.15	1.39
192	98.00	1.35		91.27	1.41		93.12	1.41		82.00	1.37		91.10	1.39
192	98.00	1.35		91.53	1.39		93.47	1.41		82.28	1.38		91.32	1.38
256	98.00	1.35		91.27	1.40		93.41	1.41		82.28	1.38		91.24	1.39
320	98.00	1.35		91.03	1.41		93.37	1.41		81.72	1.38		91.03	1.39
384	98.00	1.35		91.27	1.41		93.12	1.41		81.50	1.38		90.97	1.39
