	Loop			GCD			Bubble			Qsort			Average
Bits	HR	CPI		HR	CPI		HR	CPI		HR	CPI		HR	CPI
10	96.00	1.36		70.28	1.74		92.64	1.42		68.25	1.51		81.79	1.51
18	96.00	1.36		81.99	1.56		93.06	1.41		74.49	1.45		86.38	1.45
18	96.00	1.36		81.81	1.55		92.63	1.42		73.78	1.46		86.05	1.45
26	96.00	1.36		81.99	1.56		93.56	1.41		75.90	1.44		86.86	1.44
34	96.00	1.36		81.76	1.57		93.45	1.41		75.55	1.44		86.69	1.45
34	96.00	1.36		85.41	1.49		93.05	1.41		77.18	1.43		87.91	1.42
34	96.00	1.36		81.78	1.55		92.63	1.42		74.56	1.46		86.24	1.45
42	96.00	1.36		81.79	1.58		93.45	1.41		74.77	1.44		86.50	1.45
50	96.00	1.36		81.89	1.59		93.25	1.41		74.34	1.44		86.37	1.45
50	96.00	1.36		84.85	1.51		93.54	1.41		78.45	1.42		88.21	1.43
66	96.00	1.36		84.34	1.52		93.44	1.41		77.68	1.42		87.86	1.43
66	96.00	1.36		85.65	1.49		93.05	1.41		79.59	1.41		88.57	1.42
66	96.00	1.36		89.07	1.43		92.60	1.42		80.30	1.41		89.49	1.41
82	96.00	1.36		83.89	1.55		93.44	1.41		76.75	1.42		87.52	1.44
98	96.00	1.36		84.37	1.54		93.24	1.41		76.68	1.42		87.57	1.43
98	96.00	1.36		84.94	1.51		93.54	1.41		80.72	1.40		88.80	1.42
130	96.00	1.36		84.43	1.52		93.44	1.41		80.23	1.40		88.52	1.42
130	96.00	1.36		91.86	1.38		93.05	1.41		83.98	1.38		91.22	1.38
130	96.00	1.36		89.05	1.43		92.60	1.42		80.23	1.41		89.47	1.41
162	96.00	1.36		83.98	1.54		93.44	1.41		79.23	1.40		88.16	1.43
194	96.00	1.36		84.46	1.54		93.24	1.41		78.95	1.40		88.16	1.43
194	96.00	1.36		91.51	1.39		93.53	1.41		84.76	1.37		91.45	1.38
258	96.00	1.36		91.26	1.40		93.43	1.41		84.55	1.37		91.31	1.39
258	96.00	1.36		91.85	1.38		93.05	1.41		83.91	1.38		91.20	1.38
258	96.00	1.36		89.05	1.43		92.60	1.42		80.23	1.41		89.47	1.41
322	96.00	1.36		91.02	1.41		93.43	1.41		84.05	1.37		91.12	1.39
386	96.00	1.36		91.26	1.41		93.22	1.41		83.84	1.37		91.08	1.39
386	96.00	1.36		91.50	1.39		93.53	1.41		84.69	1.37		91.43	1.38
514	96.00	1.36		91.24	1.40		93.43	1.41		84.48	1.37		91.29	1.39
514	96.00	1.36		91.85	1.38		93.05	1.41		83.91	1.38		91.20	1.38
642	96.00	1.36		91.00	1.41		93.43	1.41		83.98	1.37		91.10	1.39
770	96.00	1.36		91.24	1.41		93.22	1.41		83.77	1.37		91.06	1.39
770	96.00	1.36		91.50	1.39		93.53	1.41		84.69	1.37		91.43	1.38
1026	96.00	1.36		91.24	1.40		93.43	1.41		84.48	1.37		91.29	1.39
1282	96.00	1.36		91.00	1.41		93.43	1.41		83.98	1.37		91.10	1.39
1538	96.00	1.36		91.24	1.41		93.22	1.41		83.77	1.37		91.06	1.39
